best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Time to Expiration
0.0,12.5,90.73,0.0,SYN.BTC-30OCT24,72463.2029,78.92,0.0,0.0003,0.0,0.0001,1.1,0.0205,0.0001,0.00073763,0.0001,"[[0.0003, 12.5]]",[],BTC-30OCT24-68000-P,72375.04,29242315299,1730235180454,-0.01108,-8.40185,0.79896,2e-05,-0.0118,74.53,2.2,-66.6667,0.0001,0.0007,day,30OCT24,68000,0.0
0.0,0.7,132.94,0.0,SYN.BTC-30OCT24,72463.2029,78.92,0.0,0.0635,0.0,0.0617,51.3,0.1005,0.023,0.04287889,0.064,"[[0.0635, 0.7]]",[],BTC-30OCT24-68000-C,72375.04,29242504281,1730235180454,0.85231,-30.54227,0.77398,1e-05,0.98855,151859.3,43.2,33.3333,0.048,0.064,day,30OCT24,68000,0.0
0.0,4.6,116.29,0.0,SYN.BTC-30OCT24,72464.4295,91.12,0.0,0.0001,0.0,0.0,0.3,0.015,0.0001,0.00018165,0.0001,"[[0.0001, 4.6]]",[],BTC-30OCT24-65500-P,72375.07,29242300693,1730235181461,-0.00088,-0.61337,0.08206,0.0,-0.00093,156.27,19.9,-75.0,0.0001,0.0004,day,30OCT24,65500,0.0
0.0,35.1,189.31,0.0,SYN.BTC-30OCT24,72464.4295,91.12,0.0,0.098,0.0,0.0961,85.0,0.1325,0.0585,0.07754584,0.0995,"[[0.098, 35.1]]",[],BTC-30OCT24-65500-C,72375.07,29242493538,1730235181461,0.83164,-3.53719,0.07764,0.0,0.99912,548539.91,87.5,26.9133,0.0783,0.0995,day,30OCT24,65500,0.0
0.0,0.1,85.15,0.0,SYN.BTC-30OCT24,72464.4295,78.92,0.0,0.0001,0.0,0.0001,20.4,0.0175,0.0001,0.00051447,0.0001,"[[0.0001, 0.1]]",[],BTC-30OCT24-67500-P,72375.07,29242304147,1730235181461,-0.00546,-3.8517,0.42926,1e-05,-0.00581,156.73,14.2,-66.6667,0.0001,0.0003,day,30OCT24,67500,0.0
0.0,0.7,146.05,0.0,SYN.BTC-30OCT24,72464.4295,78.92,0.0,0.0705,0.0,0.0686,16.4,0.1065,0.03,0.04970201,0.0725,"[[0.0705, 0.7]]",[],BTC-30OCT24-67500-C,72375.07,29242506179,1730235181461,0.85142,-16.21482,0.4109,1e-05,0.99443,6384.34,1.4,34.2593,0.054,0.0725,day,30OCT24,67500,0.0
0.0,35.1,213.87,0.0,SYN.BTC-30OCT24,72464.4295,105.99,0.0,0.1055,0.0,0.103,43.8,0.1405,0.066,0.08459141,0.086,"[[0.1055, 35.1]]",[],BTC-30OCT24-65000-C,72375.07,29242499293,1730235181461,0.82312,-8.18861,0.15452,0.0,0.99812,1011613.14,162.0,-3.3708,0.086,0.089,day,30OCT24,65000,0.0
0.0,4.2,124.08,0.0,SYN.BTC-30OCT24,72464.4295,105.99,0.0,0.0001,0.0,0.0,0.2,0.015,0.0001,0.00018156,0.0001,"[[0.0001, 4.2]]",[],BTC-30OCT24-65000-P,72375.07,29242296441,1730235181461,-0.00186,-1.60749,0.16327,0.0,-0.00198,84.61,11.9,0.0,0.0001,0.0001,day,30OCT24,65000,0.0
0.0,0.1,92.94,0.0,SYN.BTC-30OCT24,72464.4295,82.85,0.0,0.0001,0.0,0.0,32.9,0.0165,0.0001,0.00043364,0.0001,"[[0.0001, 0.1], [0.0002, 99.7], [0.0003, 100.0]]",[],BTC-30OCT24-67000-P,72375.07,29242300695,1730235181461,-0.00372,-2.65704,0.30477,1e-05,-0.00396,684.01,39.6,-83.3333,0.0001,0.0006,day,30OCT24,67000,0.0
0.0,28.1,217.69,0.0,SYN.BTC-30OCT24,72464.4295,105.99,0.0,0.1185,0.0,0.1168,62.8,0.153,0.08,0.09867581,0.103,"[[0.1185, 28.1]]",[],BTC-30OCT24-64000-C,72375.07,29242487419,1730235181461,0.81295,-2.30996,0.04359,0.0,0.99953,51276.16,7.0,0.0,0.103,0.103,day,30OCT24,64000,0.0
0.0,0.7,149.36,0.0,SYN.BTC-30OCT24,72464.4295,82.85,0.0,0.077,0.0,0.0754,6.8,0.113,0.037,0.05666169,0.0785,"[[0.077, 0.7]]",[],BTC-30OCT24-67000-C,72375.07,29242499291,1730235181461,0.84674,-12.03571,0.29055,1e-05,0.99622,30656.41,5.8,28.6885,0.061,0.0785,day,30OCT24,67000,0.0
0.0,6.9,139.71,0.0,SYN.BTC-30OCT24,72464.4295,105.99,0.0,0.0001,0.0,0.0,0.0,0.015,0.0001,0.0001814,0.0001,"[[0.0001, 6.9]]",[],BTC-30OCT24-64000-P,72375.07,29242296443,1730235181461,-0.00047,-0.36827,0.04634,0.0,-0.0005,2.84,0.4,0.0,0.0001,0.0001,day,30OCT24,64000,0.0
0.0,0.1,108.51,0.0,SYN.BTC-30OCT24,72464.5536,91.12,0.0,0.0001,0.0,0.0,1.1,0.015,0.0001,0.00021351,0.0001,"[[0.0001, 0.1]]",[],BTC-30OCT24-66000-P,72375.16,29242296442,1730235182468,-0.00188,-1.39513,0.16478,0.0,-0.002,17.78,2.5,0.0,0.0001,0.0001,day,30OCT24,66000,0.0
0.0,35.1,186.34,0.0,SYN.BTC-30OCT24,72464.5536,91.12,0.0,0.0915,0.0,0.0892,11.4,0.1265,0.0515,0.0705333,0.0735,"[[0.0915, 35.1]]",[],BTC-30OCT24-66000-C,72375.16,29242493519,1730235182468,0.83704,-7.15463,0.15704,0.0,0.99809,45778.8,8.7,-2.0,0.0735,0.075,day,30OCT24,66000,0.0
0.0,9.1,171.13,0.0,SYN.BTC-30OCT24,72464.5536,105.99,0.0,0.0001,0.0,0.0,0.1,0.015,0.0001,7.091e-05,0.0001,"[[0.0001, 9.1]]",[],BTC-30OCT24-62000-P,72375.16,29242289351,1730235182468,-2e-05,-0.01146,0.00212,0.0,-2e-05,0.73,0.1,0.0,0.0001,0.0001,day,30OCT24,62000,0.0
0.0,8.1,155.31,0.0,SYN.BTC-30OCT24,72464.5536,105.99,0.0,0.0001,0.0,0.0,3.1,0.015,0.0001,0.00018126,0.0001,"[[0.0001, 8.1]]",[],BTC-30OCT24-63000-P,72375.16,29242289350,1730235182468,-0.0001,-0.07165,0.01099,0.0,-0.00011,100.32,14.1,0.0,0.0001,0.0001,day,30OCT24,63000,0.0
0.0,0.7,119.34,0.0,SYN.BTC-30OCT24,72464.5536,74.12,0.0,0.0565,0.0,0.0549,33.5,0.094,0.0155,0.03606203,0.057,"[[0.0565, 0.7]]",[],BTC-30OCT24-68500-C,72375.16,29242506186,1730235182468,0.85441,-38.33313,1.03429,2e-05,0.98398,4141.75,1.0,0.0,0.057,0.057,day,30OCT24,68500,0.0
3.0,35.1,273.34,0.0,SYN.BTC-30OCT24,72464.5536,105.99,0.11,0.1465,0.0,0.1444,95.2,0.178,0.109,0.12673851,0.141,"[[0.1465, 35.1], [0.25, 6.0]]","[[0.11, 3.0], [0.1, 3.0]]",BTC-30OCT24-62000-C,72375.16,29242487417,1730235182468,0.78796,-0.10086,0.0019,0.0,0.99998,643770.2,65.1,7.6336,0.131,0.172,day,30OCT24,62000,0.0
