	best_bid_amount	best_ask_amount	bid_iv	ask_iv	underlying_index	underlying_price	mark_iv	best_bid_price	best_ask_price	open_interest	max_price	min_price	last_price	asks	bids	settlement_price	instrument_name	mark_price	index_price	change_id	timestamp	greeks.rho	greeks.theta	greeks.vega	greeks.gamma	greeks.delta	stats.volume_usd	stats.volume	stats.price_change	stats.low	stats.high	settlement_period	Expiration Date	Strike Price
0	0	0	0	0	BTC-3MAY24	59330.12	100	0	0	125	0.491	0.298	0.385	[]	[]	0.39044737	BTC-3MAY24-35000-C	0.4101	59424.86	23395508824	1.7147E+12	0.67656	0	0	0	1	402682.41	18	0	0.385	0.385	week	3-May-24	35000
2	0	0	0	0	BTC-3MAY24	59329.29	100	0	0	31	0.4185	0.1975	0.28	[]	[]	0.30336843	BTC-3MAY24-40000-C	0.3258	59424.86	23395508310	1.7147E+12	0.77321	0	0	0	1	277903.56	16	-6.6667	0.28	0.3	week	3-May-24	40000
3	0	13.4	0	513.66	BTC-3MAY24	59329.29	100	0	0.0001	10.4	0.015	0.0001	0.0001	"[[0.0001, 13.4]]"	[]	0	BTC-3MAY24-40000-P	0	59424.45	23399861386	1.7147E+12	0	0	0	0	0	40.17	6.8	0	0.0001	0.0001	week	3-May-24	40000
4	0	10	0	465.65	BTC-3MAY24	59327.17	100	0	0.2425	35	0.346	0.0975	0.2	"[[0.2425, 10.0], [0.26, 10.0]]"	[]	0.21628949	BTC-3MAY24-45000-C	0.2415	59422.69	23400032019	1.7147E+12	0.32277	0	0	0	1	209329.77	24	146.9136	0.081	0.2	week	3-May-24	45000
5	0	10	0	0	BTC-3MAY24	59327.17	100	0	0.0001	10	0.015	0.0001	0.0022	"[[0.0001, 10.0]]"	[]	2.00E-08	BTC-3MAY24-45000-P	0	59422.69	23399890696	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	45000
6	0	70	0	328.21	BTC-3MAY24	59327.17	7.35	0	0.1585	314.9	0.273	0.0001	0.13	"[[0.1585, 70.0]]"	[]	0.12927338	BTC-3MAY24-50000-C	0.1572	59422.69	23400033260	1.7147E+12	0.35769	0	0	0	1	105943.82	14	0	0.13	0.13	week	3-May-24	50000
7	0	19.2	0	237.81	BTC-3MAY24	59324.42	7.9	0	0.0001	626.3	0.015	0.0001	0.0001	"[[0.0001, 19.2]]"	[]	6.49E-05	BTC-3MAY24-50000-P	0	59420.17	23399818359	1.7147E+12	0	0	0	0	0	259.09	19	-66.6667	0.0001	0.0003	week	3-May-24	50000
8	0	10	999	0	BTC-3MAY24	59324.42	7.9	0	0.0001	10	0.2005	0.0001	0.1955	"[[0.0001, 10.0]]"	[]	0.04414785	BTC-3MAY24-55000-C	0.0729	59420.17	23399124017	1.7147E+12	0.51484	0	0	0	1	12115402.31	1650	357.8454	0.0427	0.1955	week	3-May-24	55000
9	0	10	0	134.05	BTC-3MAY24	59323.3	7.82	0	0.0003	3	0.1035	0.0001	0.002	"[[0.0003, 10.0], [0.0022, 0.1]]"	[]	0.00208345	BTC-3MAY24-55000-P	0	59419.09	23399457846	1.7147E+12	0	0	0	0	0	0	0				week	3-May-24	55000
10	1	70	0	140.02	BTC-3MAY24	59323.3	7.82	0.056	0.057	46.1	0.186	0.0001	0.035	"[[0.057, 70.0], [0.061, 10.0]]"	"[[0.056, 1.0]]"	0.02971375	BTC-3MAY24-56000-C	0.056	59419.09	23400032522	1.7147E+12	0.40167	0	0	0	1	393.54	0.2	6.0606	0.033	0.035	week	3-May-24	56000
