,index,best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Expiration_Date,Time to Expiration,Implied Volatility,SMA Volatility,BS Price,BS Price_1,Market Price,Calculated_BS_Price,Error,Optimized_BS_Price,Residual,gross_profit_loss,management_fee,incentive_fee,net_profit_loss,Ending_Net_Asset_Value,Monthly_Rate_of_Return,Unrealized_Gain_Loss,Change_in_Open_Trade_Equity,Net_Performance_wo_Fees,Net_Performance,Additions_Withdrawals,Additions,Withdrawals,VAMI
0,1,0.0,92.5,0.0,110.01,SYN.BTC-4FEB24,43046.629,85.49,0.0,0.0,0.0002,1.0,0.5,0.0001,0.0002,"[[0.0002, 92.5], [0.0004, 54.0], [0.0005, 10.0]]",[],8.462e-05,BTC-4FEB24-38500-P,0.0,43039.34,20963042903,1706969366458,-0.00159,-0.8726,0.11172,0.0,-0.0018,0.0,0.0,,,,day,2024-02-04,38500,2024-02-04,0.0027397260273972,0.55005,,4548.752751440021,,0.0002,4546.643338009038,4546.643138009038,4547.683780071442,4547.683580071442,4546.643138009038,90.93286676018077,909.3286276018076,3546.38164364705,1003546.3816436471,0.00354638164364705,-4547.683580071442,0.0,3546.38164364705,2546.120149285062,1000.2614943620333,1000.2614943620333,0.0,1000000.0
1,2,0.0,19.8,0.0,139.25,SYN.BTC-4FEB24,43046.8715,78.77,0.0,0.0,0.0955,0.0,0.594,0.0001,,"[[0.0955, 19.8], [0.1045, 10.0]]",[],0.09439113,BTC-4FEB24-39000-C,0.094,43039.34,20963039809,1706969360696,0.79239,-6.15599,0.1563,1e-05,0.9974,0.0,0.0,,,,day,2024-02-04,39000,2024-02-04,0.0027397260273972,0.69625,,4050.537228099936,,0.0002,4048.407898080499,4048.407698080499,4047.939978513925,4047.939778513925,4048.407698080499,80.96815796160998,809.6815396160998,3157.7580005027894,1003157.7580005028,0.0031577580005027893,-4047.939778513925,499.7438015575167,3657.501802060306,2766.852104482596,390.9058960202324,390.9058960202324,0.0,1003157.7580005028
2,3,0.0,1.5,0.0,90.44,SYN.BTC-4FEB24,43046.8715,78.77,0.0,0.0,0.0001,30.1,0.5,0.0001,0.0001,"[[0.0001, 1.5], [0.0002, 32.0], [0.0003, 88.0], [0.0004, 27.0], [0.0007, 10.0]]",[],0.00014408,BTC-4FEB24-39000-P,0.0,43039.34,20963041721,1706969360696,-0.00231,-1.19951,0.1563,1e-05,-0.0026,12.92,3.0,0.0,0.0001,0.0001,day,2024-02-04,39000,2024-02-04,0.0027397260273972,0.4522,,4049.011595442637,,0.0001,4046.874701621157,4046.874601621156,4047.939978513925,4047.9398785139247,4046.8746016211567,80.93749403242315,809.3749203242314,3156.562187264502,1003156.5621872646,0.003156562187264502,-4047.9398785139247,-9.999999974752427e-05,3156.562087264502,2266.2496729078475,890.3125143567095,890.3125143567095,0.0,1006324.2878472682
3,4,0.0,20.7,0.0,126.92,SYN.BTC-4FEB24,43046.8715,66.52,0.0,0.0,0.084,0.0,0.582,0.0001,,"[[0.084, 20.7], [0.094, 10.0]]",[],0.08270657,BTC-4FEB24-39500-C,0.0824,43039.34,20963039917,1706969360696,0.80311,-4.09321,0.12306,0.0,0.998,0.0,0.0,,,,day,2024-02-04,39500,2024-02-04,0.0027397260273972,0.6346,,3551.102807087802,,0.0001,3548.9493946446746,3548.9492946446744,3547.9536769564147,3547.9535769564145,3548.9492946446744,70.9789878928935,709.7898589289349,2768.180447822846,1002768.1804478229,0.002768180447822846,-3547.9535769564145,499.98630155751016,3268.166749380356,2487.3979025585277,280.7825452643747,280.7825452643747,0.0,1009109.9750650561
4,5,0.0,26.8,0.0,80.04,SYN.BTC-4FEB24,43046.8715,66.52,0.0,0.0,0.0001,18.2,0.5,0.0001,0.0001,"[[0.0001, 26.8], [0.0002, 62.0], [0.001, 53.0], [0.0011, 10.0]]",[],7.174e-05,BTC-4FEB24-39500-P,0.0,43039.34,20963042755,1706969360696,-0.00177,-0.75997,0.12306,0.0,-0.002,0.0,0.0,,,,day,2024-02-04,39500,2024-02-04,0.0027397260273972,0.4002,,3549.0396344204128,,0.0001,3546.875355680124,3546.875255680124,3547.9536769564147,3547.9535769564145,3546.8752556801237,70.93750711360248,709.3750511360248,2766.5626974304964,1002766.5626974305,0.0027665626974304964,-3547.9535769564145,0.0,2766.5626974304964,1986.2501391808692,780.3125582496214,780.3125582496214,0.0,1011901.7410796761
5,6,0.0,14.5,0.0,105.44,SYN.BTC-4FEB24,43046.8715,61.36,0.0,0.0,0.072,0.0,0.5705,0.0001,,"[[0.072, 14.5], [0.084, 10.0]]",[],0.07111873,BTC-4FEB24-40000-C,0.0708,43039.34,20963040051,1706969360696,0.81165,-6.8387,0.2229,1e-05,0.99614,0.0,0.0,,,,day,2024-02-04,40000,2024-02-04,0.0027397260273972,0.5272,,3050.435566866705,,0.0001,3048.252733091198,3048.252633091198,3047.9673753988973,3047.967275398897,3048.252633091198,60.96505466182396,609.6505266182396,2377.6370518111344,1002377.6370518111,0.0023776370518111345,-3047.967275398897,499.98630155751744,2877.623353368652,2207.0077720885884,170.62927972250418,170.62927972250418,0.0,1014307.6761520593
6,7,0.0,3.0,0.0,69.63,SYN.BTC-4FEB24,43046.6287,61.36,0.0,0.0,0.0001,48.2,0.5,0.0001,0.0001,"[[0.0001, 3.0], [0.0004, 46.0], [0.0016, 10.0]]",[],9.612e-05,BTC-4FEB24-40000-P,0.0,43039.34,20963042960,1706969370820,-0.00342,-1.43255,0.22302,1e-05,-0.00386,109.01,25.3,0.0,0.0001,0.0001,day,2024-02-04,40000,2024-02-04,0.0027397260273972,0.3481499999999999,,3048.825125075193,,0.0001,3046.633467939733,3046.633367939733,3047.7245753988973,3047.724475398897,3046.6333679397326,60.932669358794655,609.3266735879465,2376.3740249929915,1002376.374024993,0.0023763740249929913,-3047.724475398897,0.24279999999998836,2376.6168249929915,1706.3574820462504,670.0165429467911,670.0165429467911,0.0,1016718.050567018
7,8,0.0,14.5,0.0,100.69,SYN.BTC-4FEB24,43046.8715,54.49,0.0,0.0,0.061,0.0,0.559,0.0001,,"[[0.061, 14.5], [0.0745, 10.0]]",[],0.05959289,BTC-4FEB24-40500-C,0.0592,43039.34,20963040146,1706969360696,0.81963,-9.47791,0.34785,2e-05,0.99364,0.0,0.0,,,,day,2024-02-04,40500,2024-02-04,0.0027397260273972,0.50345,,2552.929199246115,,0.0001,2550.733740416523,2550.7336404165226,2547.981073841387,2547.980973841387,2550.7336404165226,51.014674808330454,510.14672808330454,1989.572237524888,1001989.5722375249,0.001989572237524888,-2547.980973841387,499.74350155751017,2489.315739082398,1928.154336190763,61.417901334139515,61.417901334139515,0.0,1018740.8845738166
8,9,0.0,3.0,0.0,59.2,SYN.BTC-4FEB24,43046.8715,54.49,0.0,0.0,0.0001,53.8,0.5,0.0001,0.0001,"[[0.0001, 3.0], [0.001, 106.0], [0.0024, 10.0]]",[],0.0001825,BTC-4FEB24-40500-P,0.0001,43039.34,20963042703,1706969360696,-0.00562,-2.19451,0.34785,2e-05,-0.00636,0.43,0.1,0.0,0.0001,0.0001,day,2024-02-04,40500,2024-02-04,0.0027397260273972,0.296,,2549.096640038195,,0.0001,2546.877616853293,2546.877516853293,2547.981073841387,2547.980973841387,2546.877516853293,50.93755233706587,509.37550337065863,1986.5644611455684,1001986.5644611456,0.0019865644611455685,-2547.980973841387,0.0,1986.5644611455684,1426.251405437844,560.3130557077061,560.3130557077061,0.0,1020764.679010227
9,10,0.0,10.0,0.0,213.78,SYN.BTC-4FEB24,43046.6283,54.49,0.0,0.0,0.07,0.0,0.553,0.0001,,"[[0.07, 10.0]]",[],0.05373508,BTC-4FEB24-40750-C,0.0535,43038.71,20963040241,1706969373787,0.81855,-17.09352,0.62735,3e-05,0.98753,0.0,0.0,,,,day,2024-02-04,40750,2024-02-04,0.0027397260273972,1.0689,,2501.223507229653,,0.0001,2499.371220952511,2499.371120952511,2297.7447230626203,2297.74462306262,2499.371120952511,49.98742441905022,499.8742241905022,1949.5094723429586,1001949.5094723429,0.0019495094723429587,-2297.74462306262,250.2363507787668,2199.745823121725,1649.8841745121726,299.62529783073387,299.62529783073387,0.0,1022754.6694209905
