,best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Expiration_Date,Time to Expiration,Implied Volatility,SMA Volatility,BS Price,BS Price_1,Market Price,Theoretical Price,BS Price QuantLib
0,1.1,3.3,0.0,500.34,BTC-28JUN24,44651.03,95.9,0.0,0.0001,0.95,75.9,1.0,0.277,0.761,"[[0.95, 3.3]]","[[0.0001, 1.1]]",0.77667083,BTC-28JUN24-10000-C,0.7766,43036.67,20963043147,1706969537935,39.32439,-0.79396,2.41324,0.0,0.99722,0.0,0.0,,,,month,2024-06-28,10000,2024-06-28,0.14520547945205478,2.5017,1.274185,35138.76680290682,34682.81896029077,0.761,34680.028967419654,35158.97104579412
1,25.0,23.0,85.14,107.62,BTC-28JUN24,44651.03,95.9,0.0,0.0002,0.0015,282.8,0.5005,0.0001,0.0009,"[[0.0015, 23.0], [0.0016, 20.9], [0.0145, 2.0]]","[[0.0002, 25.0], [0.0001, 435.0]]",0.00060545,BTC-28JUN24-10000-P,0.0006,43036.67,20963045652,1706969537935,-0.60483,-0.79396,2.41324,0.0,-0.00278,0.0,0.0,,,,month,2024-06-28,10000,2024-06-28,0.14520547945205478,0.9638,1.2176733333333334,34680.066748813406,34681.607231805065,0.0009,34680.028967419654,0.04518299664305723
2,1.0,2.2,0.0,500.17,BTC-28JUN24,44651.7,75.02,0.0,0.0001,0.9365,137.5,1.0,0.1655,0.66,"[[0.9365, 2.2]]","[[0.0001, 1.0]]",0.66488057,BTC-28JUN24-15000-C,0.665,43036.74,20963040931,1706969539948,58.72525,-1.15666,4.49384,0.0,0.99443,0.0,0.0,,,,month,2024-06-28,15000,2024-06-28,0.14520547945205478,2.5008500000000002,1.2853233333333334,31120.50718509325,29750.117059663327,0.66,29695.198454944708,31163.95599761932
3,1.0,18.0,70.59,79.47,BTC-28JUN24,44651.7,75.02,0.0,0.0006,0.0015,188.8,0.5005,0.0001,0.0013,"[[0.0015, 18.0], [0.0016, 8.1]]","[[0.0006, 1.0], [0.0004, 150.0], [0.0001, 203.0]]",0.00078251,BTC-28JUN24-15000-P,0.001,43036.74,20963046428,1706969539948,-1.16858,-1.15666,4.49384,0.0,-0.00557,49.35,0.9,0.0,0.0013,0.0013,month,2024-06-28,15000,2024-06-28,0.14520547945205478,0.7503,1.221818333333333,29695.310239583974,29732.467231179086,0.0013,29695.198454944708,0.13116353254203458
4,4.2,1.7,0.0,499.49,BTC-28JUN24,44651.7,65.96,0.0,0.552,0.925,373.9,1.0,0.055,0.5385,"[[0.925, 1.7]]","[[0.552, 4.2], [0.5, 0.2], [0.0001, 1.0]]",0.55491964,BTC-28JUN24-20000-C,0.5549,43036.74,20963042452,1706969539948,76.43686,-2.60559,11.51434,0.0,0.98363,0.0,0.0,,,,month,2024-06-28,20000,2024-06-28,0.14520547945205478,2.49745,1.2892383333333333,27644.11353135055,25012.14608601081,0.5385,24709.712136368023,27711.324926931837
5,57.0,38.0,50.47,73.0,BTC-28JUN24,44652.48,65.96,0.0,0.0004,0.005,220.6,0.5025,0.0001,0.0034,"[[0.005, 38.0], [0.0055, 1.0], [4.0, 30.0]]","[[0.0004, 57.0], [0.0002, 5.0], [0.0001, 16.0]]",0.00278889,BTC-28JUN24-20000-P,0.0028,43036.73,20963045330,1706969540954,-3.42128,-2.6054,11.51351,0.0,-0.01636,0.0,0.0,,,,month,2024-06-28,20000,2024-06-28,0.14520547945205478,0.61735,1.22131,24711.023097646063,24940.521813947882,0.0034,24710.492130445426,0.6224326925848948
6,13.2,1.5,0.0,499.58,BTC-28JUN24,44652.48,60.01,0.0,0.507,0.921,178.6,1.0,0.0105,0.4925,"[[0.921, 1.5]]","[[0.507, 13.2], [0.4, 25.0], [0.0001, 1.0]]",0.51126296,BTC-28JUN24-22000-C,0.5105,43036.73,20963044885,1706969540955,83.73629,-2.7981,13.59061,0.0,0.98012,0.0,0.0,,,,month,2024-06-28,22000,2024-06-28,0.14520547945205478,2.4979,1.2886566666666668,26398.733026445938,23212.656586015855,0.4925,22716.413264155715,26474.972574108284
7,36.0,2.0,54.75,63.96,BTC-28JUN24,44652.47,60.01,0.0,0.0018,0.0045,228.6,0.503,0.0001,0.005,"[[0.0045, 2.0], [0.0046, 0.1], [0.035, 2.0], [0.313, 20.0]]","[[0.0018, 36.0]]",0.00391914,BTC-28JUN24-22000-P,0.0032,43036.73,20963046159,1706969540956,-4.10801,-2.7981,13.59063,0.0,-0.01988,0.0,0.0,,,,month,2024-06-28,22000,2024-06-28,0.14520547945205478,0.59355,1.225235,22717.879121512982,23115.169069635784,0.005,22716.40326480751,1.8076305550061342
8,16.0,1.4,0.0,499.27,BTC-28JUN24,44652.47,60.01,0.0,0.4625,0.917,136.4,0.968,0.0001,0.4485,"[[0.917, 1.4]]","[[0.4625, 16.0], [0.005, 99.9], [0.0001, 1.0]]",0.46840153,BTC-28JUN24-24000-C,0.4684,43036.98,20963042834,1706969541962,88.7519,-4.36857,21.21853,0.0,0.96614,0.0,0.0,,,,month,2024-06-28,24000,2024-06-28,0.14520547945205478,2.49635,1.3084466666666665,25219.06833282501,21527.51273952892,0.4485,20722.93926478025,25303.79298128587
9,18.0,18.0,41.74,74.09,BTC-28JUN24,44652.47,60.01,0.0,0.0006,0.0145,260.7,0.5055,0.0001,0.007,"[[0.0145, 18.0], [0.015, 18.0]]","[[0.0006, 18.0], [0.0005, 18.0], [0.0002, 10.0], [0.0001, 10.0]]",0.00584463,BTC-28JUN24-24000-P,0.0058,43036.98,20963045259,1706969541964,-7.07824,-4.36857,21.21853,0.0,-0.03386,0.0,0.0,,,,month,2024-06-28,24000,2024-06-28,0.14520547945205478,0.57915,1.3277516666666667,20727.064621230555,21570.50279236236,0.007,20722.93926478025,5.505990947222015
