timestamp,change_id,index_price,instrument_name,bids,asks,last_price,settlement_price,min_price,max_price,open_interest,mark_price,best_ask_price,best_bid_price,interest_rate,mark_iv,underlying_price,underlying_index,bid_iv,ask_iv,best_ask_amount,best_bid_amount,stats.high,stats.low,stats.price_change,stats.volume,stats.volume_usd,greeks.delta,greeks.gamma,greeks.vega,greeks.theta,greeks.rho,settlement_period,Expiration Date,Strike Price,Option Type,Time to Expiration
1730332493934,14460698071,2656.88,ETH-1NOV24-2000-C,"[[0.25, 481.0]]","[[0.272, 82.0]]",0.221,0.251974,0.219,0.2835,0.0,0.2501,0.272,0.25,0.0,156.53,2666.84,ETH-1NOV24,0.0,485.92,82.0,481.0,,,,0.0,0.0,0.99898,1e-05,0.00552,-0.32344,0.07315,week,1NOV24,2000,Call,0.0027397260273972603
1730332493934,0,2656.88,ETH-1NOV24-2650-P,[],[],,,0.0001,0.053,0.0,0.0116,0.0,0.0,0.0,58.39,2666.84,ETH-1NOV24,0.0,0.0,0.0,0.0,,,,0.0,0.0,-0.4241,0.00401,0.6546,-13.33277,-0.04563,week,1NOV24,2650,Put,0.0027397260273972603
1730332496954,14460686578,2656.88,ETH-1NOV24-2800-C,"[[0.0014, 525.0], [0.0002, 4.0]]","[[0.0019, 418.0]]",0.0024,0.00357,0.0001,0.029,562.0,0.0016,0.0019,0.0014,0.0,60.89,2666.89,ETH-1NOV24,58.46,63.3,418.0,525.0,,,,0.0,0.0,0.09629,0.00174,0.27558,-4.38391,0.00925,week,1NOV24,2800,Call,0.0027397260273972603
1730332496954,14459875836,2656.88,ETH-1NOV24-2900-C,"[[0.0003, 340.0]]","[[0.0006, 219.0]]",0.0013,0.001033,0.0001,0.0205,22.0,0.0004,0.0006,0.0003,0.0,70.22,2666.89,ETH-1NOV24,66.27,74.16,219.0,340.0,,,,0.0,0.0,0.02689,0.00054,0.10137,-1.1594,0.00264,week,1NOV24,2900,Call,0.0027397260273972603
1730332496954,14455073880,2656.88,ETH-1NOV24-2200-P,"[[0.0001, 138.0]]","[[0.0003, 308.0]]",0.0003,0.000171,0.0001,0.0155,1.0,0.0002,0.0003,0.0001,0.0,122.7,2666.89,ETH-1NOV24,114.7,130.71,308.0,138.0,,,,0.0,0.0,-0.00684,9e-05,0.0329,-0.48241,-0.00078,week,1NOV24,2200,Put,0.0027397260273972603
1730332496954,14460668007,2656.88,ETH-1NOV24-2700-C,"[[0.008, 485.0], [0.0005, 1.0]]","[[0.0095, 795.0]]",0.0085,0.012256,0.0001,0.046,341.0,0.0088,0.0095,0.008,0.0,58.01,2666.89,ETH-1NOV24,54.7,61.27,795.0,485.0,,,,0.0,0.0,0.36928,0.00403,0.60931,-13.20565,0.03525,week,1NOV24,2700,Call,0.0027397260273972603
1730332499069,14460698060,2656.89,ETH-1NOV24-2900-P,"[[0.087, 567.0]]","[[0.1245, 86.0]]",0.113,0.085868,0.046,0.137,3.0,0.0878,0.1245,0.087,0.0,70.22,2666.93,ETH-1NOV24,0.0,288.6,86.0,567.0,,,,0.0,0.0,-0.97443,0.00053,0.09614,-2.52502,-0.10375,week,1NOV24,2900,Put,0.0027397260273972603
1730332498968,14452098946,2656.89,ETH-1NOV24-3100-C,"[[0.0001, 239.0]]","[[0.0003, 14.0], [0.0004, 1.0]]",0.0004,4.1e-05,0.0001,0.015,24.0,0.0002,0.0003,0.0001,0.0,93.35,2666.93,ETH-1NOV24,87.6,100.0,14.0,239.0,,,,0.0,0.0,0.00855,0.00014,0.04133,-0.46388,0.00099,week,1NOV24,3100,Call,0.0027397260273972603
1730332498968,14460698138,2656.89,ETH-1NOV24-3100-P,[],"[[0.1625, 25848.0], [0.163, 43048.0], [0.1635, 11209.0], [0.164, 561.0], [0.186, 73.0], [0.188, 77.0], [0.1915, 76.0], [0.195, 152.0], [0.1955, 76.0], [0.1965, 76.0], [0.1975, 229.0], [0.198, 231.0], [0.1985, 77.0], [0.199, 78.0]]",0.2735,0.1597,0.118,0.215,0.0,0.1625,0.1625,0.0,0.0,93.35,2666.93,ETH-1NOV24,0.0,98.07,25848.0,0.0,,,,0.0,0.0,-0.9958,8e-05,0.01999,-0.69779,-0.11313,week,1NOV24,3100,Put,0.0027397260273972603
1730332498968,14451892761,2656.89,ETH-1NOV24-3200-C,[],"[[0.0003, 64.0]]",0.0001,0.00039,0.0001,0.0175,0.0,0.0003,0.0003,0.0,0.0,117.28,2666.93,ETH-1NOV24,0.0,117.62,64.0,0.0,,,,0.0,0.0,0.01117,0.00014,0.05234,-0.78131,0.0013,week,1NOV24,3200,Call,0.0027397260273972603
