best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period
0.0,1050.0,0.0,561.89,ETH-3MAY24,2946.23,151.81,0.0,0.254,0.0,1166.0,0.282,0.2225,0.304,"[[0.254, 1050.0]]",[],0.261609,ETH-3MAY24-2200-C,0.2533,3006.45,8170046716,1714701014845,0.01549,0.0,0.0,0.0,1.0,0.0,0.0,,,,week
0.0,2.0,0.0,379.84,ETH-3MAY24,2946.16,151.81,0.0,0.0002,0.0,1823.0,0.015,0.0001,0.0001,"[[0.0002, 2.0]]",[],8.8e-05,ETH-3MAY24-2200-P,0.0,3006.35,8169595210,1714701015808,0.0,0.0,0.0,0.0,0.0,54.32,186.0,0.0,0.0001,0.0001,week
0.0,0.0,939.08,0.0,ETH-3MAY24,2946.23,134.52,0.0,0.0,0.0,0.0,0.2495,0.187,0.2465,[],[],0.228029,ETH-3MAY24-2300-C,0.2193,3006.35,8169611476,1714701015808,0.02153,0.0,0.0,0.0,1.0,345278.77,500.0,14.4914,0.2153,0.2465,week
0.0,0.0,164.92,222.51,ETH-3MAY24,2946.16,134.52,0.0,0.0,0.0,0.0,0.015,0.0001,,[],[],0.000359,ETH-3MAY24-2300-P,0.0002,3006.35,8155219979,1714701015808,-0.00101,-0.58565,0.03727,6e-05,-0.00597,0.0,0.0,,,,week
0.0,1050.0,0.0,480.24,ETH-3MAY24,2946.19,102.41,0.0,0.1875,0.0,912.0,0.2165,0.1515,0.194,"[[0.1875, 1050.0]]",[],0.194474,ETH-3MAY24-2400-C,0.1854,3006.38,8170046398,1714701016815,0.01689,0.0,0.0,0.0,1.0,0.0,0.0,,,,week
0.0,156.0,0.0,335.37,ETH-3MAY24,2946.19,102.41,0.0,0.0003,0.0,4104.0,0.015,0.0001,0.0001,"[[0.0003, 156.0]]",[],7.7e-05,ETH-3MAY24-2400-P,0.0,3006.38,8169901190,1714701016815,0.0,0.0,0.0,0.0,0.0,8.77,30.0,0.0,0.0001,0.0001,week
0.0,950.0,0.0,381.52,ETH-3MAY24,2946.19,102.41,0.0,0.154,0.0,579.0,0.184,0.1165,0.1605,"[[0.154, 950.0]]",[],0.160932,ETH-3MAY24-2500-C,0.1515,3006.38,8170047205,1714701016815,0.0176,0.0,0.0,0.0,1.0,0.0,0.0,,,,week
0.0,23.0,0.0,284.5,ETH-3MAY24,2946.19,102.41,0.0,0.0003,0.0,1439.0,0.015,0.0001,0.0001,"[[0.0003, 23.0]]",[],0.000125,ETH-3MAY24-2500-P,0.0,3006.44,8169998455,1714701017822,0.0,0.0,0.0,0.0,0.0,75.62,257.0,0.0,0.0001,0.0001,week
0.0,1050.0,0.0,304.55,ETH-3MAY24,2946.19,102.41,0.0,0.119,0.0,2997.0,0.152,0.081,0.1285,"[[0.119, 1050.0]]",[],0.127409,ETH-3MAY24-2600-C,0.1175,3006.44,8170046397,1714701017822,0.0183,-0.00038,1e-05,0.0,1.0,400017.54,1050.0,0.0,0.1285,0.1285,week
0.0,21.0,0.0,196.72,ETH-3MAY24,2946.23,102.41,0.0,0.0003,0.0,6500.0,0.015,0.0001,0.0001,"[[0.0003, 21.0]]",[],0.000182,ETH-3MAY24-2600-P,0.0,3006.42,8169595494,1714701018829,0.0,-0.0007,0.00013,0.0,-3e-05,74.29,252.0,0.0,0.0001,0.0001,week
0.0,1050.0,0.0,227.69,ETH-3MAY24,2946.25,102.41,0.0,0.085,0.0,3287.0,0.121,0.0455,0.0935,"[[0.085, 1050.0]]",[],0.094335,ETH-3MAY24-2700-C,0.0836,3006.42,8170046896,1714701018829,0.01899,-0.08787,0.00172,3e-05,0.99937,0.0,0.0,,,,week
0.0,9.0,0.0,163.52,ETH-3MAY24,2946.25,102.41,0.0,0.0002,0.0,2386.0,0.015,0.0001,0.0001,"[[0.0002, 9.0]]",[],0.000635,ETH-3MAY24-2700-P,0.0,3006.42,8169955524,1714701018829,-2e-05,-0.0187,0.00226,3e-05,-0.00083,41.69,140.0,0.0,0.0001,0.0001,week
