Beginning Net Asset Value	Additions	Withdrawals	Fee Payments	Equity Adjustments	Gross Trading Profit (Loss)	Brokerage Commissions	Net Trading Profit (Loss)	Open Trade Equity	Change in Open Trade Equity	Net Performance w/o Fees	High Watermark	Incentive Fee	Management Fee	Net Performance	Unrelated Items	Ending Net Asset Value	Cum. Fees Payable	Monthly Rate of Return	VAMI
0	1000.261494	0	0	0	4546.643138	0	3546.381644	-4547.68358	0	3546.381644	0	909.3286276	90.93286676	2546.120149	0	1003546.382	0	0.003546382	1000000
0	390.905896	0	0	0	4048.407698	0	3157.758001	-4047.939779	499.7438016	3657.501802	0	809.6815396	80.96815796	2766.852104	0	1003157.758	0	0.003157758	1003157.758
0	890.3125144	0	0	0	4046.874602	0	3156.562187	-4047.939879	-1.00E-04	3156.562087	0	809.3749203	80.93749403	2266.249673	0	1003156.562	0	0.003156562	1006324.288
0	280.7825453	0	0	0	3548.949295	0	2768.180448	-3547.953577	499.9863016	3268.166749	0	709.7898589	70.97898789	2487.397903	0	1002768.18	0	0.00276818	1009109.975
0	780.3125582	0	0	0	3546.875256	0	2766.562697	-3547.953577	0	2766.562697	0	709.3750511	70.93750711	1986.250139	0	1002766.563	0	0.002766563	1011901.741
0	170.6292797	0	0	0	3048.252633	0	2377.637052	-3047.967275	499.9863016	2877.623353	0	609.6505266	60.96505466	2207.007772	0	1002377.637	0	0.002377637	1014307.676
0	670.0165429	0	0	0	3046.633368	0	2376.374025	-3047.724475	0.2428	2376.616825	0	609.3266736	60.93266936	1706.357482	0	1002376.374	0	0.002376374	1016718.051
0	61.41790133	0	0	0	2550.73364	0	1989.572238	-2547.980974	499.7435016	2489.315739	0	510.1467281	51.01467481	1928.154336	0	1001989.572	0	0.001989572	1018740.885
0	560.3130557	0	0	0	2546.877517	0	1986.564461	-2547.980974	0	1986.564461	0	509.3755034	50.93755234	1426.251405	0	1001986.564	0	0.001986564	1020764.679
0	299.6252978	0	0	0	2499.371121	0	1949.509472	-2297.744623	250.2363508	2199.745823	0	499.8742242	49.98742442	1649.884175	0	1001949.509	0	0.001949509	1022754.669
0	507.5545826	0	0	0	2307.066275	0	1799.511693	-2297.744623	0	1799.511693	0	461.4132551	46.14132751	1291.95711	0	1001799.512	0	0.001799512	1024595.128
0	202.1214148	0	0	0	2055.066198	0	1602.951633	-2047.751472	249.9931508	1852.944783	0	411.0132397	41.10132597	1400.830218	0	1001602.952	0	0.001602952	1026237.505
0	453.487098	0	0	0	2064.747227	0	1610.502829	-2046.994172	0.7573	1611.260129	0	412.9494454	41.29495254	1157.015731	0	1001610.503	0	0.001610503	1027890.263
0	208.8733543	0	0	0	2085.756805	0	1626.8903	-1797.001022	249.9931508	1876.883451	0	417.151361	41.7151441	1418.016945	0	1001626.89	0	0.00162689	1029562.528
0	401.3392718	0	0	0	1824.269381	0	1422.930109	-1797.001022	0	1422.930109	0	364.8538762	36.48539562	1021.590837	0	1001422.93	0	0.00142293	1031027.523
0	92.68710005	0	0	0	1557.731458	0	1215.030107	-1546.986771	250.0142508	1465.044358	0	311.5462917	31.15505917	1122.343007	0	1001215.03	0	0.00121503	1032280.253
0	344.7110782	0	0	0	1566.771255	0	1222.081577	-1547.008171	-0.0214	1222.060177	0	313.3542511	31.33542711	877.370499	0	1001222.082	0	0.001222082	1033541.784
0	121.9600904	0	0	0	1690.816369	0	1318.836228	-1296.98812	250.0200508	1568.856279	0	338.1632738	33.81686738	1196.876137	0	1001318.836	0	0.001318836	1034904.856
0	301.1437909	0	0	0	1368.832959	0	1067.689168	-1296.98812	0	1067.689168	0	273.7665917	27.37719917	766.5453769	0	1001067.689	0	0.001067689	1036009.813
0	0	18.22854552	0	0	1053.481933	0	821.7153277	-1046.992969	249.9951508	1071.710479	0	210.6963866	21.07021866	839.9438732	0	1000821.715	0	0.000821715	1036861.118
0	230.2154923	0	0	0	1046.303138	0	816.1164454	-1047.021769	-0.0288	816.0876454	0	209.2606275	20.92606475	585.9009531	0	1000816.116	0	0.000816116	1037707.317
0	47.57286478	0	0	0	1352.572334	0	1055.006419	-797.0287184	249.9930508	1304.99947	0	270.5144669	27.05144869	1007.433554	0	1001055.006	0	0.001055006	1038802.105
0	178.0009394	0	0	0	809.103188	0	631.1004487	-797.0269184	0.0018	631.1022487	0	161.8206376	16.18210176	453.0995093	0	1000631.1	0	0.0006311	1039457.694
0	0	125.308931	0	0	566.8269079	0	442.1245882	-547.0156676	250.0112508	692.1358389	0	113.3653816	11.33693816	567.4335192	0	1000442.125	0	0.000442125	1039917.263
0	123.473445	0	0	0	561.1529136	0	437.6992686	-547.0354676	-0.0198	437.6794686	0	112.2305827	11.22306227	314.2258236	0	1000437.699	0	0.000437699	1040372.434
0	0	18.18510825	0	0	1053.716111	0	821.898369	-297.0326168	250.0028508	1071.90122	0	210.7432223	21.07452023	840.0834772	0	1000821.898	0	0.000821898	1041227.515
0	72.67364698	0	0	0	330.2933227	0	257.6287757	-297.0417168	-0.0091	257.6196757	0	66.05866453	6.605882453	184.9551287	0	1000257.629	0	0.000257629	1041495.765
0	0	211.8985984	0	0	173.1823747	0	135.0821222	-47.04286605	249.9988508	385.080973	0	34.63647493	3.463777493	346.9807206	0	1000135.082	0	0.000135082	1041636.452
0	33.87274772	0	0	0	153.9486351	0	120.0798874	-47.04686605	-0.004	120.0758874	0	30.78972702	3.079020702	86.20713965	0	1000120.08	0	0.00012008	1041761.532
0	0	26.71861938	0	0	92.41181215	0	72.08116548	0.0024	47.04926605	119.1304315	0	18.48236243	1.848284243	98.79978486	0	1000072.081	0	7.21E-05	1041836.623
0	19.7643693	0	0	0	89.86054227	0	70.09107297	0.0075	0.0051	70.09617297	0	17.97210845	1.797360845	50.32670367	0	1000070.091	0	7.01E-05	1041909.647
0	9.571808164	0	0	0	43.4821462	0	33.91603804	0.0018	-0.0057	33.91033804	0	8.69642924	0.869678924	24.34422987	0	1000033.916	0	3.39E-05	1041944.984
0	5.603174006	0	0	0	25.50310912	0	19.89223511	0.0095	0.0077	19.89993511	0	5.100621824	0.510252182	14.28906111	0	1000019.892	0	1.99E-05	1041965.711
0	5.12721773	0	0	0	23.26368968	0	18.14567195	0.0003	-0.0092	18.13647195	0	4.652737936	0.465279794	13.01845422	0	1000018.146	0	1.81E-05	1041984.618
0	70.86761137	0	0	0	322.1254789	0	251.2578676	0.0003	0	251.2578676	0	64.42509579	6.442515579	180.3902562	0	1000251.258	0	0.000251258	1042246.425
0	5.359179654	0	0	0	24.35988025	0	19.00070059	0.0003	0	19.00070059	0	4.871976049	0.487203605	13.64152094	0	1000019.001	0	1.90E-05	1042266.228
0	10.69115908	0	0	0	48.59615038	0	37.9049913	0.0003	0	37.9049913	0	9.719230076	0.971929008	27.21383221	0	1000037.905	0	3.79E-05	1042305.735
0	65.1915278	0	0	0	296.3246536	0	231.1332258	0.0002	-1.00E-04	231.1331258	0	59.26493072	5.926497072	165.941698	0	1000231.133	0	0.000231133	1042546.647
0	43.94305165	0	0	0	199.7411257	0	155.798074	0.0002	0	155.798074	0	39.94822513	3.994826513	111.8550224	0	1000155.798	0	0.000155798	1042709.074
0	5.140344386	0	0	0	23.36607448	0	18.2255301	0.0004	0.0002	18.2257301	0	4.673214896	0.46732949	13.08518571	0	1000018.226	0	1.82E-05	1042728.078
0	6.508712393	0	0	0	29.5836836	0	23.07527121	0.0001	-0.0003	23.07497121	0	5.916736721	0.591675672	16.56655882	0	1000023.075	0	2.31E-05	1042752.139
0	4.120116999	0	0	0	18.72913181	0	14.60871481	0.0004	0.0003	14.60901481	0	3.745826362	0.374590636	10.48859781	0	1000014.609	0	1.46E-05	1042767.372
0	3.871023327	0	0	0	17.83428785	0	13.90966452	0.054	0.0536	13.96326452	0	3.56685757	0.357765757	10.0386412	0	1000013.91	0	1.39E-05	1042781.877
0	0.055307756	0	0	0	0.006389798	0	0.004982043	0.0001	-0.0539	-0.048917957	0	0.00127796	0.000129796	-0.050325713	0	1000000.005	0	4.98E-09	1042781.882
0	1.034309356	0	0	0	4.701397073	0	3.667087717	0.0001	0	3.667087717	0	0.940279415	0.094029941	2.632778361	0	1000003.667	0	3.67E-06	1042785.706
0	0.001084492	0	0	0	0.004920419	0	0.003835927	0.0001	0	0.003835927	0	0.000984084	0.000100408	0.002751434	0	1000000.004	0	3.84E-09	1042785.71
0	1.78451465	0	0	0	8.111421135	0	6.326906485	0.0001	0	6.326906485	0	1.622284227	0.162230423	4.542391836	0	1000006.327	0	6.33E-06	1042792.307
0	0.004467684	0	0	0	0.02074402	0	0.016176336	0.0002	0.0001	0.016276336	0	0.004148804	0.00041888	0.011708651	0	1000000.016	0	1.62E-08	1042792.324
0	1.415500106	0	0	0	6.43407321	0	5.018573104	0.0002	0	5.018573104	0	1.286814642	0.128685464	3.603072998	0	1000005.019	0	5.02E-06	1042797.558
0	4340.538708	0	0	0	3559.128543	0	2776.120259	-3557.530224	-3557.530424	-781.410165	0	711.8257085	71.18257485	-1564.418448	0	1002776.12	0	0.00277612	1045692.489
0	782.1924427	0	0	0	3555.41973	0	2773.227388	-3557.530324	-1.00E-04	2773.227288	0	711.0839461	71.10839661	1991.034945	0	1002773.227	0	0.002773227	1048592.432
0	172.6514333	0	0	0	3057.381976	0	2384.757939	-3057.557721	499.9726035	2884.730543	0	611.4763952	61.14764152	2212.106506	0	1002384.758	0	0.002384758	1051093.071
0	674.3970484	0	0	0	3065.441566	0	2391.044417	-3057.557621	1.00E-04	2391.044517	0	613.0883131	61.30883531	1716.647369	0	1002391.044	0	0.002391044	1053606.281
